	Feature ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc	Taxon
47	268562fb503bfa543ee47c17177b20f9	0.0	0.0	0.0	0.0	0.0	48.0	47.0	100.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae
48	9e8dfc218e84015bb40185d42281a9ee	0.0	0.0	0.0	104.0	84.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_613062; f__Rhodanobacteraceae_613062
49	246c20fb68ba6b42199de278e7238a86	81.0	18.0	50.0	0.0	0.0	0.0	0.0	0.0	35.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales; f__CAG-74; g__SFMI01
50	8447f0839cf75085a94fab291be9be80	91.0	24.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Archaea; p__Methanobacteriota_A_1229; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A
51	f1714a6cfaaa481ce548a9608b1812a3	70.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	78.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Eubacterium_N; s__Eubacterium_N saphenum
52	4d0fd138c382a0f1eaea469cd16b8a14	43.0	57.0	32.0	0.0	0.0	0.0	0.0	0.0	49.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__F0058
53	e73ebe1899f20b762cab0e5a85f513de	13.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	110.0	d__Bacteria; p__Desulfobacterota_I; c__Desulfobulbia; o__Desulfobulbales; f__Desulfobulbaceae; g__Desulfobulbus_A_451156; s__Desulfobulbus_A_451156 oralis
54	2ecc26fa38d0f81cfd44270ae78aed8f	0.0	0.0	0.0	40.0	52.0	44.0	0.0	42.0	0.0	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584
55	07dae3ddceb57eb29048bd82c77d9228	53.0	48.0	12.0	0.0	0.0	0.0	0.0	0.0	64.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Parvimonas; s__Parvimonas micra
56	753adcffab1789e51335b16c46a8120f	0.0	0.0	0.0	35.0	24.0	21.0	68.0	26.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
57	add01eb7e5d5bf540fa1bf359c938531	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Capnocytophaga_820690; s__Capnocytophaga gingivalis
58	38944b76c90c1642a3577f1ccc8cedd7	59.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia
59	d56eb106101d763952845800113671b6	2.0	0.0	0.0	36.0	26.0	13.0	68.0	22.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Chryseolinea; s__
60	3f2e1626e5bb88d914bba1488f893cc8	25.0	0.0	0.0	13.0	0.0	89.0	16.0	23.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
